     t	           0	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          33	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          34	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          35	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          36	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          37	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          38	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          39	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          40	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          41	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          42	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          43	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          44	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          45	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          46	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          47	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          48	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          49	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          50	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          51	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          52	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          53	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          54	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          55	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          56	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          57	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          58	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          59	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          60	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          61	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          62	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          63	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          64	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          65	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          66	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          67	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          68	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          69	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          70	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          71	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          72	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          73	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          74	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          75	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          76	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          77	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          78	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          79	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          80	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          81	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          82	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          83	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          84	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          85	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          86	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          87	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          88	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          89	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          90	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          91	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          92	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          93	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          94	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          95	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          96	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          97	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          98	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	          99	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	         100	  NANT	          10	 NANT1	          10	 NANT2	           0	
0.271579 95
0	0	0	0	0	0	0	0	0	1	
